// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
47059														7.644399	0.067552	5.850457	0.127395	0.001133	0.097522	1.000000	0.000030	-0.000115	0.000076	-0.443898	-0.388122	0.214644	-0.778616	0.974994	-52.651149	120.141631	-0.304631	0.524637	0.794957	-0.857869	-0.513764	0.010323	0.413836	-0.678824	0.606579
47060														7.669367	0.099362	5.872119	0.127812	0.001656	0.097883	1.000000	0.000065	-0.000111	0.000053	-0.443829	-0.388195	0.214639	-0.778621	0.976641	-52.659009	120.148783	-0.304642	0.524505	0.795040	-0.857792	-0.513892	0.010339	0.413987	-0.678829	0.606469
47061														7.617998	0.102407	5.855264	0.126958	0.001707	0.097599	1.000000	0.000101	-0.000085	0.000076	-0.443673	-0.388274	0.214576	-0.778688	0.978534	-52.663940	120.169330	-0.304795	0.524336	0.795092	-0.857594	-0.514223	0.010358	0.414285	-0.678709	0.606400
47062														7.691860	0.103453	5.870581	0.128188	0.001724	0.097855	1.000000	0.000098	-0.000095	0.000075	-0.443585	-0.388341	0.214552	-0.778711	0.980467	-52.669905	120.179501	-0.304847	0.524211	0.795155	-0.857488	-0.514399	0.010377	0.414467	-0.678673	0.606317
47063														7.716896	0.084723	5.880508	0.128612	0.001406	0.098012	1.000000	0.000059	-0.000029	0.000001	-0.443556	-0.388364	0.214486	-0.778735	0.988914	-52.668266	120.180134	-0.304864	0.524227	0.795138	-0.857421	-0.514508	0.010466	0.414592	-0.678577	0.606339
47064														7.737231	0.082717	5.909536	0.128947	0.001371	0.098502	1.000000	0.000051	-0.000075	-0.000022	-0.443517	-0.388429	0.214428	-0.778740	0.999935	-52.671837	120.179268	-0.304831	0.524189	0.795176	-0.857349	-0.514627	0.010582	0.414765	-0.678517	0.606287
47065														7.706946	0.043031	5.867467	0.128438	0.000708	0.097805	1.000000	0.000045	-0.000111	-0.000036	-0.443533	-0.388509	0.214409	-0.778696	1.012507	-52.679438	120.168413	-0.304679	0.524155	0.795256	-0.857355	-0.514614	0.010713	0.414865	-0.678552	0.606179
47066														7.675580	0.054727	5.838436	0.127926	0.000903	0.097307	1.000000	0.000038	-0.000001	-0.000041	-0.443569	-0.388504	0.214340	-0.778698	1.024852	-52.674436	120.158469	-0.304623	0.524268	0.795203	-0.857355	-0.514611	0.010845	0.414906	-0.678468	0.606246
47067														7.739235	0.093712	5.879073	0.128992	0.001538	0.097979	1.000000	0.000049	0.000043	-0.000149	-0.443688	-0.388493	0.214198	-0.778674	1.054221	-52.664071	120.129323	-0.304428	0.524547	0.795093	-0.857405	-0.514521	0.011159	0.414945	-0.678320	0.606384
47068														7.698935	0.094691	5.848236	0.128316	0.001564	0.097470	1.000000	0.000022	0.000005	-0.000094	-0.443769	-0.388489	0.214117	-0.778652	1.072527	-52.658276	120.109893	-0.304291	0.524720	0.795032	-0.857448	-0.514446	0.011354	0.414958	-0.678244	0.606461
47069														7.653527	0.104266	5.864814	0.127563	0.001726	0.097741	1.000000	-0.000000	0.000045	-0.000091	-0.443866	-0.388442	0.214036	-0.778642	1.087719	-52.647862	120.091076	-0.304191	0.524945	0.794922	-0.857508	-0.514342	0.011517	0.414908	-0.678148	0.606603
47070														7.670073	0.088504	5.816845	0.127844	0.001464	0.096935	1.000000	-0.000019	0.000098	-0.000104	-0.443985	-0.388351	0.213939	-0.778647	1.102505	-52.631420	120.071108	-0.304122	0.525249	0.794748	-0.857582	-0.514215	0.011678	0.414805	-0.678009	0.606828
47071														7.639329	0.114900	5.868910	0.127330	0.001902	0.097805	1.000000	0.000009	0.000077	-0.000095	-0.444097	-0.388282	0.213839	-0.778645	1.119313	-52.617333	120.050351	-0.304030	0.525528	0.794598	-0.857648	-0.514101	0.011860	0.414737	-0.677880	0.607020
47072														7.642553	0.147999	5.877147	0.127375	0.002455	0.097954	1.000000	0.000029	-0.000011	-0.000069	-0.444139	-0.388293	0.213762	-0.778637	1.134822	-52.613553	120.037624	-0.303939	0.525641	0.794558	-0.857650	-0.514093	0.012025	0.414798	-0.677798	0.607069
47073														7.667948	0.137190	5.858851	0.127791	0.002276	0.097658	1.000000	0.000065	-0.000084	-0.000031	-0.444152	-0.388358	0.213719	-0.778608	1.148911	-52.617988	120.027303	-0.303814	0.525642	0.794605	-0.857640	-0.514106	0.012173	0.414910	-0.677787	0.607004
47074														7.636399	0.138757	5.871696	0.127260	0.002300	0.097879	1.000000	0.000067	-0.000133	-0.000045	-0.444154	-0.388469	0.213686	-0.778561	1.165451	-52.628103	120.015732	-0.303637	0.525582	0.794712	-0.857623	-0.514131	0.012346	0.415075	-0.677815	0.606861
47075														7.654446	0.171152	5.847145	0.127560	0.002837	0.097471	1.000000	0.000074	-0.000145	-0.000064	-0.444158	-0.388598	0.213641	-0.778507	1.185691	-52.639519	120.001750	-0.303430	0.525519	0.794833	-0.857601	-0.514163	0.012557	0.415273	-0.677839	0.606698
47076														7.688427	0.165483	5.858824	0.128126	0.002750	0.097666	1.000000	0.000047	-0.000146	-0.000031	-0.444155	-0.388707	0.213635	-0.778456	1.197795	-52.651128	119.992718	-0.303267	0.525427	0.794956	-0.857593	-0.514173	0.012682	0.415408	-0.677903	0.606534
47077														7.661511	0.146900	5.866630	0.127680	0.002442	0.097792	1.000000	0.000032	-0.000119	-0.000029	-0.444157	-0.388788	0.213627	-0.778416	1.207761	-52.659647	119.984865	-0.303135	0.525366	0.795046	-0.857590	-0.514175	0.012785	0.415510	-0.677948	0.606414
47078														7.671192	0.162898	5.853469	0.127840	0.002711	0.097575	1.000000	0.000046	-0.000133	0.000006	-0.444128	-0.388879	0.213630	-0.778387	1.214189	-52.669835	119.982927	-0.303047	0.525254	0.795154	-0.857560	-0.514224	0.012850	0.415637	-0.677998	0.606271
47079														7.713322	0.174801	5.840103	0.128545	0.002914	0.097348	1.000000	0.000027	-0.000102	0.000025	-0.444111	-0.388929	0.213647	-0.778366	1.215660	-52.676533	119.982774	-0.302999	0.525175	0.795225	-0.857550	-0.514241	0.012863	0.415693	-0.678047	0.606178
47080														7.710059	0.132697	5.873679	0.128493	0.002213	0.097905	1.000000	0.000016	-0.000082	0.000027	-0.444053	-0.388972	0.213642	-0.778380	1.215419	-52.681008	119.990132	-0.303036	0.525082	0.795273	-0.857485	-0.514349	0.012860	0.415800	-0.678037	0.606116
47081														7.698892	0.147111	5.846035	0.128312	0.002454	0.097438	1.000000	-0.000020	-0.000029	0.000004	-0.444050	-0.388959	0.213638	-0.778389	1.214190	-52.679253	119.991717	-0.303062	0.525095	0.795254	-0.857480	-0.514358	0.012847	0.415791	-0.678021	0.606140
47082														7.674363	0.162396	5.849324	0.127908	0.002709	0.097486	1.000000	-0.000011	0.000019	0.000010	-0.444047	-0.388911	0.213607	-0.778423	1.213006	-52.672110	119.994792	-0.303140	0.525164	0.795178	-0.857461	-0.514388	0.012837	0.415772	-0.677943	0.606240
47083														7.654033	0.161504	5.834166	0.127571	0.002693	0.097232	1.000000	-0.000018	0.000034	-0.000006	-0.444094	-0.388845	0.213583	-0.778436	1.213601	-52.663157	119.990193	-0.303160	0.525296	0.795084	-0.857499	-0.514325	0.012846	0.415679	-0.677889	0.606364
47084														7.640304	0.155626	5.893415	0.127343	0.002591	0.098218	1.000000	0.000002	0.000047	-0.000021	-0.444129	-0.388786	0.213524	-0.778462	1.218639	-52.652755	119.985663	-0.303191	0.525445	0.794974	-0.857505	-0.514314	0.012902	0.415646	-0.677782	0.606507
47085														7.628369	0.115615	5.869204	0.127145	0.001928	0.097813	1.000000	-0.000019	0.000051	-0.000004	-0.444160	-0.388710	0.213485	-0.778493	1.218644	-52.641841	119.984375	-0.303254	0.525583	0.794858	-0.857517	-0.514293	0.012905	0.415573	-0.677691	0.606658
47086														7.627335	0.109000	5.898388	0.127126	0.001811	0.098301	1.000000	0.000023	0.000042	-0.000028	-0.444203	-0.388661	0.213414	-0.778512	1.227097	-52.631904	119.976660	-0.303253	0.525743	0.794753	-0.857526	-0.514276	0.012998	0.415555	-0.677580	0.606794
47087														7.639077	0.101936	5.897415	0.127323	0.001693	0.098284	1.000000	0.000002	0.000050	-0.000047	-0.444249	-0.388608	0.213338	-0.778533	1.236126	-52.621157	119.968618	-0.303253	0.525915	0.794639	-0.857534	-0.514260	0.013096	0.415539	-0.677459	0.606941
47088														7.650916	0.094868	5.896321	0.127518	0.001575	0.098269	1.000000	0.000007	0.000026	-0.000040	-0.444318	-0.388564	0.213289	-0.778529	1.244667	-52.613092	119.956487	-0.303198	0.526076	0.794553	-0.857582	-0.514178	0.013189	0.415480	-0.677396	0.607051
47089														7.630188	0.088029	5.909498	0.127171	0.001461	0.098490	1.000000	0.000014	0.000012	-0.000041	-0.444344	-0.388544	0.213222	-0.778543	1.253955	-52.606548	119.950092	-0.303184	0.526189	0.794484	-0.857573	-0.514191	0.013290	0.415509	-0.677299	0.607140
47090														7.613558	0.116321	5.915839	0.126891	0.001932	0.098599	1.000000	0.000011	-0.000015	-0.000045	-0.444373	-0.388544	0.213170	-0.778540	1.263649	-52.603143	119.941912	-0.303133	0.526273	0.794448	-0.857577	-0.514182	0.013394	0.415539	-0.677240	0.607185
47091														7.666531	0.117381	5.916631	0.127774	0.001954	0.098612	1.000000	0.000001	-0.000015	-0.000019	-0.444371	-0.388537	0.213129	-0.778556	1.268306	-52.599839	119.940818	-0.303146	0.526318	0.794413	-0.857553	-0.514220	0.013444	0.415579	-0.677176	0.607229
47092														7.663590	0.092884	5.880199	0.127725	0.001546	0.098006	1.000000	-0.000023	-0.000018	-0.000030	-0.444399	-0.388522	0.213110	-0.778552	1.272029	-52.596882	119.935715	-0.303119	0.526381	0.794382	-0.857572	-0.514187	0.013484	0.415559	-0.677152	0.607269
47093														7.639697	0.112309	5.868701	0.127322	0.001866	0.097820	1.000000	0.000026	-0.000062	-0.000023	-0.444413	-0.388556	0.213083	-0.778535	1.280440	-52.598892	119.928965	-0.303043	0.526392	0.794403	-0.857571	-0.514186	0.013573	0.415615	-0.677144	0.607240
47094														7.697126	0.148633	5.862155	0.128278	0.002470	0.097712	1.000000	0.000041	-0.000072	-0.000023	-0.444395	-0.388610	0.213039	-0.778531	1.290496	-52.602093	119.925665	-0.302991	0.526371	0.794437	-0.857528	-0.514256	0.013678	0.415744	-0.677107	0.607193
47095														7.727358	0.123601	5.810639	0.128787	0.002068	0.096847	1.000000	-0.000024	-0.000027	0.000048	-0.444357	-0.388586	0.213053	-0.778560	1.282399	-52.600333	119.935761	-0.303096	0.526339	0.794418	-0.857496	-0.514311	0.013593	0.415733	-0.677090	0.607219
47096														7.711409	0.098851	5.804675	0.128527	0.001654	0.096740	1.000000	-0.000005	0.000035	0.000047	-0.444350	-0.388515	0.213035	-0.778605	1.276456	-52.591437	119.942387	-0.303218	0.526411	0.794324	-0.857481	-0.514338	0.013533	0.415675	-0.677014	0.607344
47097														7.725058	0.163017	5.866922	0.128761	0.002722	0.097768	1.000000	-0.000024	0.000107	0.000019	-0.444380	-0.388388	0.212987	-0.778664	1.272295	-52.574300	119.945055	-0.303361	0.526603	0.794142	-0.857489	-0.514325	0.013494	0.415553	-0.676875	0.607582
47098														7.751893	0.178940	5.873101	0.129211	0.002980	0.097869	1.000000	-0.000014	0.000127	-0.000030	-0.444433	-0.388264	0.212895	-0.778721	1.276335	-52.554662	119.941092	-0.303461	0.526859	0.793934	-0.857498	-0.514310	0.013543	0.415463	-0.676687	0.607853
47099														7.689785	0.163364	5.884732	0.128169	0.002720	0.098071	1.000000	0.000012	0.000060	-0.000010	-0.444479	-0.388190	0.212837	-0.778747	1.280716	-52.542727	119.935657	-0.303493	0.527032	0.793807	-0.857516	-0.514278	0.013593	0.415401	-0.676577	0.608018
