// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
42631														7.251190	1.669883	6.551638	0.120871	0.027852	0.109169	1.000000	-0.000604	0.000066	-0.000375	-0.457094	-0.394435	0.178308	-0.776976	7.607063	-50.890457	115.439975	-0.270972	0.569640	0.775941	-0.850964	-0.518543	0.083505	0.449927	-0.637671	0.625253
42632														7.430896	1.239136	6.194383	0.123806	0.020857	0.103249	0.999997	-0.002255	-0.000457	-0.000224	-0.458171	-0.393726	0.180173	-0.776271	7.389428	-50.929944	115.377300	-0.270119	0.569452	0.776376	-0.853207	-0.515234	0.081061	0.446176	-0.640514	0.625036
42633														7.592875	0.772473	5.883853	0.126519	0.013042	0.098079	0.999999	-0.001628	-0.000282	0.000062	-0.458714	-0.393156	0.181557	-0.775917	7.199897	-50.957482	115.383323	-0.270019	0.569087	0.776679	-0.854608	-0.513237	0.078946	0.443547	-0.642439	0.624930
42634														7.692146	0.456025	5.789079	0.128176	0.007756	0.096508	0.999999	-0.000711	-0.000224	0.000680	-0.458477	-0.392830	0.182463	-0.776009	7.027671	-50.985779	115.495429	-0.270967	0.568211	0.776990	-0.854919	-0.513012	0.077020	0.442368	-0.643394	0.624784
42635														7.599430	0.172262	5.772863	0.126626	0.003022	0.096251	0.999999	-0.000433	-0.000297	0.000864	-0.457915	-0.392685	0.183235	-0.776233	6.863844	-51.027006	115.646689	-0.272224	0.566990	0.777443	-0.854805	-0.513477	0.075167	0.441818	-0.644099	0.624446
42636														7.371425	0.156915	5.851776	0.122864	0.002593	0.097522	1.000000	0.000565	0.000073	0.000264	-0.457511	-0.392826	0.182846	-0.776492	6.892235	-51.019501	115.694695	-0.272743	0.566853	0.777360	-0.854159	-0.514503	0.075488	0.442745	-0.643400	0.624510
42637														7.341110	0.683486	6.141695	0.122416	0.011123	0.102315	0.999998	0.002025	0.000568	-0.000502	-0.457138	-0.393434	0.180736	-0.776897	7.192214	-50.946450	115.623759	-0.272470	0.568083	0.776557	-0.852513	-0.516719	0.078881	0.446073	-0.640533	0.625089
42638														7.361473	1.390646	6.443967	0.122765	0.022891	0.107376	0.999998	0.002014	0.000568	-0.000575	-0.456901	-0.393950	0.178682	-0.777250	7.486463	-50.866262	115.538282	-0.272090	0.569469	0.775675	-0.851036	-0.518629	0.082231	0.449116	-0.637753	0.625753
42639														7.316447	1.556715	6.422527	0.121942	0.025906	0.107050	1.000000	0.000095	-0.000043	-0.000237	-0.457080	-0.394046	0.178504	-0.777137	7.535800	-50.862747	115.488088	-0.271612	0.569750	0.775636	-0.851105	-0.518428	0.082777	0.449274	-0.637665	0.625729
42640														7.462119	1.276449	6.160593	0.124314	0.021417	0.102713	0.999999	-0.001279	-0.000510	0.000091	-0.457424	-0.393820	0.179735	-0.776765	7.387617	-50.917705	115.492809	-0.271338	0.569056	0.776241	-0.852188	-0.516918	0.081062	0.447382	-0.639509	0.625203
42641														7.635254	0.884885	5.878257	0.127187	0.014934	0.098030	0.999999	-0.001056	-0.000589	0.000652	-0.457282	-0.393648	0.181059	-0.776628	7.190136	-50.989151	115.588321	-0.271868	0.567730	0.777027	-0.852824	-0.516221	0.078786	0.445847	-0.641248	0.624518
42642														7.684326	0.534700	5.702461	0.128009	0.009096	0.095109	0.999999	-0.000589	-0.000570	0.000999	-0.456651	-0.393584	0.182182	-0.776770	6.985548	-51.062867	115.758962	-0.273123	0.566017	0.777836	-0.852833	-0.516559	0.076434	0.445061	-0.642489	0.623802
42643														7.646205	0.215150	5.684752	0.127387	0.003747	0.094806	0.999999	-0.000387	-0.000485	0.000980	-0.456000	-0.393570	0.183077	-0.776949	6.813043	-51.126489	115.919794	-0.274333	0.564471	0.778533	-0.852685	-0.517093	0.074453	0.444600	-0.643419	0.623171
42644														7.492840	0.141885	5.761670	0.124876	0.002327	0.096034	1.000000	0.000613	-0.000041	0.000168	-0.455689	-0.393791	0.182682	-0.777112	6.860045	-51.126344	115.941881	-0.274552	0.564367	0.778532	-0.852121	-0.517949	0.074964	0.445547	-0.642821	0.623112
42645														7.417693	0.685540	6.183229	0.123729	0.011114	0.102967	0.999997	0.001873	0.000869	-0.000962	-0.455880	-0.394123	0.180424	-0.777359	7.198134	-51.009810	115.783685	-0.273681	0.566547	0.777254	-0.850984	-0.519241	0.078838	0.448247	-0.639854	0.624229
42646														7.315944	1.397976	6.619143	0.122063	0.022914	0.110255	0.999997	0.001909	0.000885	-0.001436	-0.456409	-0.394552	0.177915	-0.777409	7.608034	-50.883220	115.543038	-0.272038	0.569240	0.775862	-0.850027	-0.520074	0.083529	0.451053	-0.636780	0.625349
42647														7.254783	1.717040	6.582728	0.120978	0.028429	0.109689	0.999999	0.000229	0.000244	-0.001346	-0.457386	-0.394695	0.177045	-0.776962	7.820165	-50.830563	115.310333	-0.270029	0.570984	0.775282	-0.850500	-0.518907	0.085940	0.451369	-0.636170	0.625742
