// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
26649														7.680742	0.059512	5.818499	0.128018	0.000999	0.096967	1.000000	-0.000049	0.000063	0.000019	-0.418187	-0.400521	0.205152	-0.789060	1.081307	-53.480454	123.609661	-0.329405	0.495613	0.803654	-0.824285	-0.566064	0.011230	0.460485	-0.658740	0.594991
26650														7.661964	0.092279	5.857634	0.127695	0.001545	0.097633	1.000000	-0.000047	-0.000049	0.000022	-0.418156	-0.400493	0.205175	-0.789084	1.072134	-53.478742	123.619330	-0.329502	0.495578	0.803636	-0.824263	-0.566097	0.011135	0.460455	-0.658738	0.595017
26651														7.730026	0.081754	5.787139	0.128825	0.001370	0.096463	1.000000	-0.000031	-0.000087	0.000038	-0.418130	-0.400502	0.205223	-0.789081	1.063866	-53.482614	123.626222	-0.329532	0.495493	0.803676	-0.824261	-0.566102	0.011049	0.460437	-0.658798	0.594964
26652														7.729553	0.053488	5.775705	0.128817	0.000897	0.096274	1.000000	0.000013	-0.000095	0.000050	-0.418083	-0.400538	0.205246	-0.789082	1.059738	-53.488153	123.633552	-0.329552	0.495386	0.803734	-0.824221	-0.566161	0.011004	0.460494	-0.658828	0.594887
26653														7.724522	0.074356	5.802651	0.128734	0.001240	0.096721	1.000000	0.000042	-0.000078	0.000040	-0.418051	-0.400578	0.205242	-0.789080	1.061240	-53.492469	123.636302	-0.329542	0.495320	0.803779	-0.824182	-0.566218	0.011019	0.460572	-0.658828	0.594826
26654														7.740064	0.086803	5.765600	0.129002	0.001446	0.096092	1.000000	0.000051	0.000007	0.000033	-0.417964	-0.400547	0.205160	-0.789162	1.061041	-53.484127	123.651252	-0.329736	0.495331	0.803692	-0.824036	-0.566430	0.011019	0.460693	-0.658638	0.594943
26655														7.766902	0.090058	5.754085	0.129447	0.001492	0.095903	1.000000	0.000104	-0.000010	0.000009	-0.417851	-0.400559	0.205025	-0.789251	1.070212	-53.477526	123.664897	-0.329906	0.495330	0.803623	-0.823828	-0.566730	0.011116	0.460944	-0.658381	0.595034
26656														7.768265	0.118774	5.764320	0.129475	0.001968	0.096067	1.000000	0.000127	0.000040	0.000004	-0.417801	-0.400553	0.204874	-0.789320	1.085919	-53.467767	123.666905	-0.329999	0.495432	0.803522	-0.823683	-0.566938	0.011281	0.461137	-0.658125	0.595168
26657														7.716273	0.125780	5.756589	0.128602	0.002087	0.095947	1.000000	0.000099	-0.000027	0.000002	-0.417822	-0.400590	0.204803	-0.789308	1.101643	-53.467647	123.655877	-0.329904	0.495497	0.803521	-0.823666	-0.566960	0.011445	0.461235	-0.658057	0.595167
26658														7.715164	0.116079	5.786512	0.128579	0.001921	0.096452	1.000000	0.000142	-0.000078	-0.000004	-0.417838	-0.400684	0.204727	-0.789272	1.123633	-53.473659	123.640796	-0.329727	0.495514	0.803583	-0.823637	-0.566997	0.011672	0.461413	-0.658013	0.595078
26659														7.770447	0.136792	5.767325	0.129500	0.002267	0.096132	1.000000	0.000120	-0.000074	-0.000009	-0.417788	-0.400755	0.204629	-0.789288	1.139689	-53.475786	123.639345	-0.329698	0.495497	0.803605	-0.823522	-0.567161	0.011838	0.461639	-0.657884	0.595045
26660														7.772936	0.166020	5.775995	0.129540	0.002751	0.096279	1.000000	0.000103	-0.000092	-0.000048	-0.417778	-0.400844	0.204539	-0.789271	1.160615	-53.480414	123.628805	-0.329571	0.495504	0.803653	-0.823457	-0.567250	0.012054	0.461846	-0.657802	0.594975
26661														7.835302	0.162917	5.692536	0.130580	0.002702	0.094887	1.000000	0.000053	-0.000089	-0.000061	-0.417877	-0.400916	0.204517	-0.789188	1.181006	-53.487035	123.602179	-0.329289	0.495580	0.803722	-0.823556	-0.567103	0.012264	0.461871	-0.657872	0.594878
26662														7.822445	0.162786	5.697497	0.130373	0.002706	0.094960	1.000000	0.000045	-0.000010	-0.000021	-0.417922	-0.400919	0.204464	-0.789177	1.193005	-53.484044	123.590474	-0.329211	0.495682	0.803691	-0.823575	-0.567072	0.012389	0.461892	-0.657821	0.594918
26663														7.774050	0.139735	5.727811	0.129566	0.002321	0.095466	1.000000	0.000075	-0.000016	-0.000009	-0.417882	-0.400935	0.204367	-0.789215	1.204256	-53.480093	123.591695	-0.329253	0.495721	0.803650	-0.823473	-0.567218	0.012507	0.462045	-0.657666	0.594971
26664														7.753103	0.118898	5.745782	0.129207	0.001982	0.095778	1.000000	0.000004	-0.000119	0.000008	-0.417874	-0.400993	0.204395	-0.789182	1.205623	-53.488403	123.589825	-0.329172	0.495635	0.803736	-0.823479	-0.567208	0.012519	0.462091	-0.657739	0.594854
26665														7.773511	0.115428	5.750990	0.129551	0.001922	0.095860	1.000000	0.000038	-0.000080	0.000015	-0.417822	-0.401037	0.204368	-0.789194	1.208969	-53.491726	123.594652	-0.329188	0.495568	0.803771	-0.823404	-0.567317	0.012553	0.462213	-0.657696	0.594806
26666														7.813525	0.105996	5.727943	0.130223	0.001763	0.095468	1.000000	0.000045	-0.000020	0.000006	-0.417745	-0.401041	0.204287	-0.789254	1.213142	-53.487419	123.604999	-0.329311	0.495559	0.803726	-0.823268	-0.567513	0.012597	0.462367	-0.657534	0.594866
