// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D200
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
32691		8.786233	0.710592	-3.560713	0.513407	0.401207	-0.722258	0.231926	168.103987	-68.082938	-113.844351	-0.150893	-0.341405	0.927725	-0.817695	0.570486	0.076943	-0.555523	-0.746986	-0.365248						
32692		8.786856	0.709817	-3.559329	0.513444	0.401158	-0.722249	0.231955	168.109395	-68.089999	-113.852312	-0.150894	-0.341279	0.927771	-0.817664	0.570538	0.076885	-0.555568	-0.747004	-0.365143						
32693		8.787419	0.709200	-3.558062	0.513477	0.401122	-0.722236	0.231987	168.113727	-68.096452	-113.857719	-0.150884	-0.341170	0.927813	-0.817649	0.570567	0.076836	-0.555593	-0.747032	-0.365047						
32694		8.791426	0.702293	-3.598638	0.513491	0.401111	-0.722218	0.232028	168.119445	-68.101161	-113.861019	-0.150873	-0.341091	0.927844	-0.817669	0.570545	0.076784	-0.555567	-0.747084	-0.364980						
32695		8.816919	0.737393	-3.529494	0.513503	0.401108	-0.722201	0.232061	168.122682	-68.104897	-113.861860	-0.150854	-0.341034	0.927868	-0.817690	0.570519	0.076751	-0.555541	-0.747130	-0.364925						
32696		8.802973	0.722594	-3.541926	0.513522	0.401137	-0.722164	0.232085	168.116728	-68.108221	-113.851403	-0.150770	-0.341012	0.927890	-0.817735	0.570452	0.076778	-0.555499	-0.747192	-0.364864						
32697		8.830053	0.769338	-3.531551	0.513533	0.401180	-0.722120	0.232122	168.111885	-68.111492	-113.839404	-0.150677	-0.340995	0.927911	-0.817805	0.570348	0.076798	-0.555420	-0.747279	-0.364806						
32698		8.830408	0.769586	-3.530612	0.513561	0.401218	-0.722074	0.232140	168.101005	-68.115185	-113.823728	-0.150559	-0.340981	0.927935	-0.817854	0.570270	0.076855	-0.555380	-0.747344	-0.364733						
32699		8.830888	0.769877	-3.529345	0.513612	0.401219	-0.722029	0.232165	168.092756	-68.122544	-113.813860	-0.150453	-0.340898	0.927983	-0.817868	0.570246	0.076882	-0.555388	-0.747401	-0.364605						
32700		8.795509	0.781919	-3.547193	0.513648	0.401249	-0.721985	0.232168	168.078861	-68.126253	-113.797237	-0.150329	-0.340887	0.928007	-0.817897	0.570195	0.076958	-0.555379	-0.747445	-0.364527						
32701		8.790463	0.806311	-3.521549	0.513698	0.401267	-0.721946	0.232150	168.060792	-68.130167	-113.779531	-0.150199	-0.340875	0.928033	-0.817896	0.570183	0.077060	-0.555416	-0.747460	-0.364441						
32702		8.776500	0.792376	-3.533875	0.513737	0.401260	-0.721931	0.232120	168.047931	-68.132423	-113.770281	-0.150129	-0.340866	0.928047	-0.817862	0.570221	0.077135	-0.555485	-0.747434	-0.364388						
32703		8.771288	0.816653	-3.508646	0.513761	0.401271	-0.721918	0.232092	168.035660	-68.132700	-113.759732	-0.150064	-0.340890	0.928049	-0.817848	0.570231	0.077212	-0.555523	-0.747416	-0.364367						
32704		8.758971	0.785255	-3.504451	0.513777	0.401266	-0.721922	0.232049	168.025555	-68.131526	-113.753796	-0.150037	-0.340923	0.928041	-0.817810	0.570277	0.077280	-0.555587	-0.747366	-0.364372						
32705		8.807297	0.806046	-3.488874	0.513793	0.401241	-0.721941	0.231999	168.018511	-68.129999	-113.753636	-0.150046	-0.340946	0.928031	-0.817744	0.570364	0.077330	-0.555681	-0.747289	-0.364387						
