// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D200
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
04356														9.675066	0.910451	0.392289	0.161250	0.015177	0.006547	1.000000	0.000026	-0.000052	0.000020	-0.350171	-0.642406	0.278637	-0.622138	79.379469	-83.972737	47.741830	0.070611	0.077714	0.994472	-0.793706	-0.599483	0.103203	0.604190	-0.796606	0.019352
04357														9.706371	0.937410	0.391262	0.161773	0.015625	0.006526	1.000000	-0.000034	-0.000034	0.000005	-0.350203	-0.642433	0.278684	-0.622072	79.448639	-83.971844	47.665542	0.070725	0.077631	0.994470	-0.793774	-0.599387	0.103241	0.604087	-0.796686	0.019230
04358														9.703861	0.924507	0.384614	0.161731	0.015407	0.006409	1.000000	-0.000066	-0.000000	-0.000012	-0.350275	-0.642428	0.278729	-0.622016	79.475669	-83.968683	47.627761	0.070813	0.077625	0.994465	-0.793880	-0.599235	0.103304	0.603937	-0.796801	0.019192
04359														9.678642	0.937672	0.368894	0.161311	0.015627	0.006138	1.000000	-0.000126	0.000053	-0.000010	-0.350392	-0.642372	0.278791	-0.621980	79.440534	-83.964790	47.646536	0.070833	0.077698	0.994457	-0.794049	-0.599001	0.103359	0.603712	-0.796969	0.019267
04360														9.649823	0.923740	0.376896	0.160831	0.015391	0.006269	1.000000	-0.000149	0.000066	-0.000037	-0.350551	-0.642304	0.278849	-0.621934	79.392795	-83.957420	47.674399	0.070881	0.077827	0.994444	-0.794252	-0.598714	0.103469	0.603440	-0.797173	0.019377
04361														9.625545	0.904635	0.360500	0.160427	0.015073	0.005998	1.000000	-0.000155	0.000048	-0.000034	-0.350703	-0.642247	0.278915	-0.621878	79.364782	-83.950732	47.682533	0.070948	0.077923	0.994432	-0.794454	-0.598428	0.103573	0.603166	-0.797378	0.019449
04362														9.628947	0.885896	0.366138	0.160484	0.014752	0.006102	1.000000	-0.000141	-0.000013	-0.000086	-0.350854	-0.642250	0.278958	-0.621771	79.413815	-83.939834	47.615689	0.071167	0.077980	0.994412	-0.794622	-0.598169	0.103776	0.602918	-0.797567	0.019395
04363														9.617757	0.868620	0.341248	0.160297	0.014461	0.005697	1.000000	-0.000078	-0.000069	-0.000100	-0.350965	-0.642313	0.278974	-0.621636	79.533548	-83.928010	47.484065	0.071484	0.077968	0.994390	-0.794722	-0.597994	0.104018	0.602749	-0.797699	0.019216
04364														9.654498	0.859293	0.313469	0.160908	0.014312	0.005245	1.000000	0.000021	-0.000128	-0.000061	-0.350973	-0.642434	0.278977	-0.621505	79.717142	-83.921908	47.299351	0.071807	0.077815	0.994379	-0.794711	-0.597980	0.104183	0.602725	-0.797725	0.018901
04365														9.663005	0.866890	0.328521	0.161051	0.014433	0.005501	1.000000	0.000110	-0.000152	-0.000093	-0.350934	-0.642612	0.278909	-0.621373	79.942955	-83.912624	47.082986	0.072210	0.077661	0.994361	-0.794582	-0.598111	0.104416	0.602847	-0.797642	0.018518
04366														9.675013	0.902188	0.320191	0.161251	0.015020	0.005364	1.000000	0.000178	-0.000154	-0.000094	-0.350854	-0.642813	0.278803	-0.621259	80.175508	-83.903329	46.867081	0.072613	0.077506	0.994344	-0.794378	-0.598342	0.104649	0.603068	-0.797484	0.018122
04367														9.684479	0.924701	0.305530	0.161409	0.015394	0.005117	1.000000	0.000181	-0.000134	-0.000106	-0.350784	-0.643007	0.278678	-0.621153	80.391113	-83.892000	46.668785	0.073015	0.077397	0.994323	-0.794165	-0.598578	0.104910	0.603300	-0.797317	0.017761
04368														9.660590	0.985617	0.294215	0.161011	0.016407	0.004924	1.000000	0.000162	-0.000113	-0.000118	-0.350735	-0.643187	0.278546	-0.621054	80.583850	-83.879018	46.492109	0.073409	0.077335	0.994299	-0.793965	-0.598794	0.105191	0.603515	-0.797160	0.017445
04369														9.710782	1.009046	0.296777	0.161848	0.016798	0.004961	1.000000	0.000119	-0.000078	-0.000113	-0.350724	-0.643325	0.278437	-0.620966	80.730519	-83.865981	46.356049	0.073748	0.077324	0.994275	-0.793825	-0.598932	0.105459	0.603657	-0.797058	0.017212
04370														9.726201	1.024653	0.295808	0.162105	0.017064	0.004930	1.000000	0.000008	0.000004	-0.000086	-0.350790	-0.643366	0.278384	-0.620910	80.773402	-83.854381	46.311636	0.073947	0.077413	0.994253	-0.793823	-0.598898	0.105671	0.603636	-0.797075	0.017165
04371														9.741602	1.039851	0.296725	0.162362	0.017319	0.004929	1.000000	-0.000067	0.000096	-0.000076	-0.350929	-0.643319	0.278354	-0.620893	80.709117	-83.842081	46.365712	0.074021	0.077637	0.994230	-0.793919	-0.598736	0.105862	0.603500	-0.797175	0.017318
04372														9.738903	1.027868	0.293635	0.162317	0.017127	0.004855	1.000000	-0.000130	0.000223	-0.000027	-0.351108	-0.643162	0.278347	-0.620958	80.499249	-83.832895	46.559702	0.073868	0.078003	0.994213	-0.794091	-0.598492	0.105955	0.603293	-0.797322	0.017732
04373														9.726655	0.994895	0.304387	0.162113	0.016578	0.005018	1.000000	-0.000207	0.000317	-0.000028	-0.351363	-0.642917	0.278355	-0.621064	80.180943	-83.821951	46.853920	0.073596	0.078520	0.994192	-0.794356	-0.598126	0.106042	0.602978	-0.797547	0.018353
04374														9.669058	0.919352	0.352749	0.161153	0.015322	0.005815	1.000000	-0.000219	0.000376	-0.000011	-0.351631	-0.642626	0.278360	-0.621211	79.796606	-83.811638	47.213162	0.073224	0.079111	0.994173	-0.794637	-0.597742	0.106093	0.602652	-0.797775	0.019096
04375														9.647138	0.912532	0.349218	0.160788	0.015210	0.005753	1.000000	-0.000204	0.000396	-0.000001	-0.351893	-0.642325	0.278357	-0.621375	79.395097	-83.801416	47.590969	0.072820	0.079723	0.994154	-0.794906	-0.597378	0.106131	0.602346	-0.797987	0.019871
04376														9.650399	0.892855	0.361981	0.160843	0.014878	0.005971	1.000000	-0.000118	0.000375	-0.000021	-0.352100	-0.642077	0.278291	-0.621544	79.032457	-83.789171	47.940488	0.072475	0.080324	0.994131	-0.795059	-0.597160	0.106211	0.602186	-0.798091	0.020583
04377														9.631222	0.931040	0.401249	0.160524	0.015506	0.006633	1.000000	-0.000028	0.000339	-0.000071	-0.352275	-0.641894	0.278152	-0.621696	78.727380	-83.771925	48.241828	0.072251	0.080927	0.994098	-0.795104	-0.597068	0.106394	0.602154	-0.798098	0.021207
04378														9.667708	0.922149	0.381294	0.161132	0.015349	0.006312	1.000000	-0.000004	0.000267	-0.000127	-0.352448	-0.641777	0.277990	-0.621791	78.509055	-83.750098	48.458559	0.072195	0.081483	0.994057	-0.795113	-0.597004	0.106683	0.602149	-0.798089	0.021687
