// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
04356														7.861837	0.447785	5.616719	0.131028	0.007459	0.093616	1.000000	-0.000004	-0.000031	-0.000036	-0.039384	0.455679	0.045328	0.888116	4.394588	-54.386425	-177.180375	-0.581611	-0.028645	0.812963	0.111265	-0.992789	0.044620	0.805822	0.116406	0.580604
04357														7.848169	0.434451	5.667179	0.130797	0.007239	0.094461	1.000000	-0.000017	-0.000059	-0.000026	-0.039348	0.455692	0.045334	0.888111	4.398896	-54.387962	-177.187302	-0.581592	-0.028574	0.812978	0.111207	-0.992793	0.044662	0.805843	0.116384	0.580578
04358														7.856125	0.425436	5.606669	0.130926	0.007088	0.093458	1.000000	-0.000052	-0.000104	-0.000057	-0.039266	0.455746	0.045324	0.888087	4.404710	-54.394442	-177.201044	-0.581507	-0.028430	0.813044	0.111055	-0.992808	0.044714	0.805926	0.116294	0.580482
04359														7.847945	0.449325	5.625283	0.130786	0.007488	0.093773	1.000000	-0.000037	-0.000141	-0.000030	-0.039215	0.455833	0.045318	0.888046	4.408307	-54.405335	-177.209716	-0.581357	-0.028334	0.813155	0.110964	-0.992817	0.044738	0.806046	0.116240	0.580325
04360														7.833615	0.459049	5.582879	0.130541	0.007650	0.093076	1.000000	-0.000015	-0.000213	-0.000016	-0.039176	0.455984	0.045326	0.887969	4.413407	-54.424657	-177.217859	-0.581087	-0.028238	0.813351	0.110910	-0.992822	0.044769	0.806248	0.116223	0.580048
04361														7.861784	0.435141	5.546984	0.131015	0.007244	0.092472	1.000000	0.000051	-0.000165	-0.000025	-0.039185	0.456090	0.045404	0.887911	4.426492	-54.438527	-177.223747	-0.580893	-0.028169	0.813492	0.111003	-0.992806	0.044886	0.806375	0.116374	0.579841
04362														7.881156	0.428165	5.551678	0.131342	0.007128	0.092544	1.000000	0.000081	-0.000117	-0.000005	-0.039213	0.456151	0.045491	0.887873	4.439245	-54.446891	-177.226928	-0.580776	-0.028131	0.813577	0.111134	-0.992786	0.045006	0.806442	0.116554	0.579713
04363														7.908111	0.395749	5.569140	0.131794	0.006588	0.092831	1.000000	0.000065	-0.000087	-0.000012	-0.039217	0.456189	0.045563	0.887850	4.451658	-54.451976	-177.232937	-0.580707	-0.028067	0.813628	0.111208	-0.992772	0.045126	0.806481	0.116687	0.579631
04364														7.903496	0.408069	5.594395	0.131718	0.006787	0.093250	1.000000	0.000109	-0.000073	-0.000032	-0.039233	0.456211	0.045686	0.887832	4.471859	-54.455261	-177.241374	-0.580665	-0.027979	0.813662	0.111349	-0.992747	0.045327	0.806492	0.116920	0.579569
04365														7.889104	0.453547	5.588766	0.131486	0.007543	0.093147	1.000000	0.000083	-0.000001	-0.000067	-0.039210	0.456167	0.045799	0.887849	4.493541	-54.449899	-177.255290	-0.580748	-0.027842	0.813607	0.111409	-0.992730	0.045552	0.806424	0.117097	0.579627
04366														7.875301	0.450921	5.587693	0.131254	0.007496	0.093131	1.000000	0.000113	-0.000013	-0.000068	-0.039187	0.456133	0.045932	0.887861	4.518925	-54.445735	-177.271253	-0.580814	-0.027683	0.813565	0.111486	-0.992709	0.045813	0.806366	0.117311	0.579666
04367														7.899017	0.475394	5.583043	0.131650	0.007906	0.093053	1.000000	0.000101	-0.000013	-0.000061	-0.039157	0.456099	0.046048	0.887874	4.541842	-54.441569	-177.286707	-0.580881	-0.027529	0.813523	0.111538	-0.992693	0.046050	0.806311	0.117488	0.579707
04368														7.882967	0.429460	5.600065	0.131391	0.007146	0.093324	1.000000	0.000062	0.000085	-0.000044	-0.039135	0.455981	0.046121	0.887932	4.556482	-54.426516	-177.296659	-0.581099	-0.027438	0.813370	0.111559	-0.992683	0.046215	0.806150	0.117595	0.579908
04369														7.857819	0.457124	5.600956	0.130965	0.007605	0.093349	1.000000	0.000102	0.000009	-0.000035	-0.039136	0.455930	0.046229	0.887952	4.575309	-54.420276	-177.306090	-0.581192	-0.027346	0.813307	0.111656	-0.992663	0.046413	0.806070	0.117785	0.579981
04370														7.860613	0.494093	5.603168	0.131013	0.008228	0.093382	1.000000	0.000047	0.000031	-0.000022	-0.039139	0.455863	0.046290	0.887983	4.585478	-54.411839	-177.310671	-0.581314	-0.027306	0.813221	0.111713	-0.992651	0.046525	0.805974	0.117893	0.580092
04371														7.822739	0.467436	5.607218	0.130383	0.007791	0.093448	1.000000	0.000019	0.000046	0.000018	-0.039147	0.455784	0.046297	0.888023	4.585946	-54.401768	-177.309568	-0.581456	-0.027323	0.813119	0.111730	-0.992648	0.046541	0.805869	0.117912	0.580234
04372														7.871842	0.497261	5.638252	0.131204	0.008293	0.093961	1.000000	-0.000062	0.000073	-0.000005	-0.039117	0.455684	0.046251	0.888078	4.580323	-54.388610	-177.310183	-0.581643	-0.027326	0.812985	0.111630	-0.992661	0.046499	0.805748	0.117799	0.580425
04373														7.830528	0.475705	5.656567	0.130521	0.007923	0.094260	1.000000	0.000026	0.000123	-0.000019	-0.039121	0.455535	0.046288	0.888153	4.586029	-54.369442	-177.312035	-0.581916	-0.027320	0.812790	0.111662	-0.992654	0.046579	0.805547	0.117863	0.580691
04374														7.806607	0.471348	5.557864	0.130112	0.007857	0.092629	1.000000	-0.000051	0.000015	-0.000024	-0.039073	0.455483	0.046258	0.888183	4.585005	-54.362519	-177.317492	-0.582016	-0.027269	0.812720	0.111548	-0.992667	0.046576	0.805490	0.117765	0.580790
04375														7.797102	0.405023	5.568183	0.129961	0.006756	0.092789	1.000000	-0.000120	0.000101	-0.000042	-0.038968	0.455358	0.046165	0.888257	4.577994	-54.345514	-177.327007	-0.582262	-0.027184	0.812547	0.111271	-0.992701	0.046524	0.805351	0.117502	0.581036
04376														7.923861	0.435625	5.584481	0.132081	0.007251	0.093051	1.000000	-0.000060	0.000173	-0.000113	-0.038846	0.455164	0.046166	0.888361	4.588631	-54.319897	-177.347473	-0.582634	-0.026993	0.812286	0.111045	-0.992719	0.046661	0.805113	0.117387	0.581390
04377														7.899150	0.497231	5.621502	0.131662	0.008272	0.093679	1.000000	0.000035	0.000098	-0.000091	-0.038772	0.455032	0.046236	0.888428	4.607180	-54.302766	-177.365985	-0.582886	-0.026815	0.812112	0.110971	-0.992718	0.046869	0.804941	0.117440	0.581617
04378														7.918991	0.484959	5.616166	0.131986	0.008079	0.093599	1.000000	0.000014	0.000026	-0.000019	-0.038768	0.454969	0.046267	0.888459	4.612889	-54.294782	-177.369270	-0.583000	-0.026787	0.812030	0.110987	-0.992713	0.046936	0.804856	0.117489	0.581725
04379														7.870838	0.432484	5.677663	0.131189	0.007196	0.094618	1.000000	0.000095	0.000083	-0.000026	-0.038794	0.454853	0.046370	0.888512	4.628252	-54.280276	-177.373350	-0.583207	-0.026755	0.811883	0.111121	-0.992690	0.047109	0.804687	0.117691	0.581917
