// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D200
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
27069		9.692040	0.654803	-0.208313	0.627404	0.365753	-0.614405	0.308375	105.730391	-85.231576	-48.738856	0.054823	-0.062489	0.996539	-0.836393	0.542259	0.080015	-0.545382	-0.837885	-0.022537						
27070		9.705580	0.692373	-0.226727	0.627423	0.365866	-0.614345	0.308322	105.694591	-85.216985	-48.697273	0.055036	-0.062640	0.996518	-0.836432	0.542160	0.080274	-0.545300	-0.837937	-0.022556						
27071		9.755948	0.761795	-0.189592	0.627470	0.365995	-0.614228	0.308308	105.575386	-85.202768	-48.567135	0.055341	-0.062700	0.996497	-0.836516	0.541988	0.080559	-0.545141	-0.838044	-0.022455						
27072		9.693519	0.773703	-0.216621	0.627537	0.366114	-0.614102	0.308279	105.430616	-85.187532	-48.413625	0.055685	-0.062750	0.996475	-0.836576	0.541849	0.080871	-0.545013	-0.838130	-0.022322						
27073		9.716335	0.780770	-0.221484	0.627640	0.366188	-0.613961	0.308264	105.225041	-85.175967	-48.202440	0.056050	-0.062694	0.996458	-0.836607	0.541760	0.081144	-0.544928	-0.838192	-0.022084						
27074		9.644792	0.815080	-0.178334	0.627745	0.366241	-0.613826	0.308255	105.015747	-85.166537	-47.988803	0.056393	-0.062606	0.996444	-0.836628	0.541693	0.081383	-0.544861	-0.838242	-0.021830						
27075		9.637792	0.803399	-0.206490	0.627838	0.366277	-0.613699	0.308275	104.816322	-85.161162	-47.784113	0.056679	-0.062474	0.996436	-0.836661	0.541616	0.081549	-0.544780	-0.838302	-0.021571						
27076		9.613525	0.822631	-0.187288	0.627908	0.366277	-0.613622	0.308287	104.677481	-85.159224	-47.644171	0.056854	-0.062360	0.996433	-0.836662	0.541601	0.081633	-0.544760	-0.838319	-0.021382						
27077		9.597416	0.832261	-0.147128	0.627962	0.366257	-0.613555	0.308333	104.550391	-85.162100	-47.514735	0.056961	-0.062194	0.996437	-0.836680	0.541574	0.081632	-0.544722	-0.838349	-0.021188						
27078		9.598707	0.809559	-0.154922	0.628003	0.366202	-0.613535	0.308356	104.473503	-85.166976	-47.440853	0.056984	-0.062058	0.996444	-0.836652	0.541625	0.081578	-0.544762	-0.838326	-0.021057						
27079		9.590708	0.817439	-0.174809	0.628024	0.366128	-0.613543	0.308386	104.434947	-85.174992	-47.406550	0.056927	-0.061922	0.996456	-0.836618	0.541697	0.081457	-0.544821	-0.838290	-0.020968						
27080		9.624411	0.766650	-0.179025	0.628021	0.366027	-0.613594	0.308409	104.453754	-85.185748	-47.432798	0.056772	-0.061810	0.996472	-0.836559	0.541816	0.081269	-0.544928	-0.838221	-0.020948						
27081		9.663768	0.751292	-0.142946	0.627995	0.365943	-0.613641	0.308467	104.487530	-85.198373	-47.469200	0.056584	-0.061684	0.996490	-0.836548	0.541867	0.081044	-0.544964	-0.838198	-0.020941						
27082		9.649006	0.744125	-0.194631	0.627979	0.365839	-0.613685	0.308536	104.500692	-85.213204	-47.486017	0.056392	-0.061511	0.996512	-0.836528	0.541935	0.080790	-0.545014	-0.838166	-0.020895						
27083		9.673444	0.723402	-0.210522	0.627955	0.365740	-0.613726	0.308623	104.517627	-85.229135	-47.504410	0.056185	-0.061325	0.996535	-0.836530	0.541972	0.080516	-0.545032	-0.838156	-0.020849						
27084		9.666821	0.698774	-0.160121	0.627933	0.365637	-0.613763	0.308715	104.526269	-85.245587	-47.514478	0.055981	-0.061123	0.996559	-0.836533	0.542010	0.080235	-0.545049	-0.838146	-0.020790						
27085		9.658982	0.704549	-0.180377	0.627899	0.365538	-0.613788	0.308851	104.528171	-85.265222	-47.513369	0.055751	-0.060870	0.996587	-0.836580	0.541986	0.079904	-0.545001	-0.838180	-0.020707						
