// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D200
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
16442	-0.124958	0.027566	-9.331236	-0.001252	0.000279	-0.093312	1.000000	0.000033	0.000029	0.000001	0.004666	0.083918	0.996462	-0.000416	-179.997383	0.536835	170.372254	-0.985872	0.167239	-0.009369	0.167247	0.985915	-0.000046	0.009230	-0.001612	-0.999956
16443	-0.128555	0.003893	-9.325700	-0.001288	0.000038	-0.093257	1.000000	-0.000005	0.000031	-0.000005	0.004647	0.083909	0.996463	-0.000401	-179.998907	0.534431	170.373351	-0.985875	0.167220	-0.009327	0.167228	0.985918	-0.000019	0.009193	-0.001579	-0.999956
16444	-0.089932	-0.047950	-9.300559	-0.000901	-0.000478	-0.093006	1.000000	0.000016	0.000015	0.000008	0.004640	0.083912	0.996462	-0.000407	-179.998108	0.533787	170.372983	-0.985875	0.167226	-0.009316	0.167234	0.985917	-0.000033	0.009179	-0.001591	-0.999957
16445	-0.098466	-0.005487	-9.341392	-0.000985	-0.000053	-0.093414	1.000000	0.000021	0.000009	0.000018	0.004641	0.083924	0.996461	-0.000421	-179.996613	0.533959	170.371549	-0.985870	0.167251	-0.009319	0.167259	0.985913	-0.000059	0.009178	-0.001617	-0.999957
16446	-0.104341	-0.082719	-9.347470	-0.001047	-0.000824	-0.093475	1.000000	0.000035	0.000036	-0.000007	0.004613	0.083912	0.996462	-0.000444	-179.993602	0.531021	170.372949	-0.985875	0.167227	-0.009268	0.167235	0.985917	-0.000112	0.009119	-0.001660	-0.999957
16447	-0.067562	-0.104851	-9.305150	-0.000678	-0.001049	-0.093051	1.000000	-0.000005	0.000031	-0.000005	0.004593	0.083903	0.996463	-0.000429	-179.995137	0.528617	170.374068	-0.985878	0.167208	-0.009226	0.167216	0.985920	-0.000085	0.009082	-0.001626	-0.999957
16448	-0.007740	-0.129212	-9.255792	-0.000079	-0.001291	-0.092558	1.000000	0.000010	0.000014	-0.000008	0.004589	0.083890	0.996464	-0.000430	-179.994966	0.528165	170.375550	-0.985883	0.167182	-0.009218	0.167190	0.985925	-0.000088	0.009074	-0.001628	-0.999958
16449	0.036547	-0.014809	-9.276489	0.000364	-0.000147	-0.092765	1.000000	0.000010	0.000014	-0.000008	0.004585	0.083877	0.996465	-0.000432	-179.994774	0.527718	170.377042	-0.985887	0.167157	-0.009210	0.167165	0.985929	-0.000091	0.009065	-0.001630	-0.999958
16450	0.013071	0.077181	-9.335457	0.000130	0.000772	-0.093355	1.000000	-0.000000	0.000009	0.000007	0.004587	0.083879	0.996465	-0.000423	-179.995791	0.527859	170.376829	-0.985887	0.167160	-0.009213	0.167168	0.985928	-0.000073	0.009071	-0.001613	-0.999958
16451	-0.057990	0.107642	-9.258691	-0.000581	0.001080	-0.092587	1.000000	0.000041	0.000011	-0.000011	0.004583	0.083863	0.996467	-0.000455	-179.992048	0.527713	170.378598	-0.985892	0.167130	-0.009210	0.167138	0.985933	-0.000139	0.009057	-0.001676	-0.999958
16452	-0.058434	0.113532	-9.339413	-0.000584	0.001137	-0.093394	1.000000	0.000016	-0.000002	-0.000005	0.004594	0.083853	0.996467	-0.000464	-179.991161	0.529053	170.379749	-0.985895	0.167110	-0.009234	0.167119	0.985937	-0.000154	0.009078	-0.001695	-0.999957
16453	-0.098301	0.022092	-9.324253	-0.000983	0.000222	-0.093243	1.000000	0.000012	0.000002	0.000025	0.004601	0.083873	0.996466	-0.000468	-179.990768	0.529909	170.377473	-0.985888	0.167149	-0.009249	0.167158	0.985930	-0.000161	0.009091	-0.001705	-0.999957
16454	-0.131754	-0.075696	-9.331803	-0.001320	-0.000757	-0.093318	1.000000	0.000002	0.000023	-0.000003	0.004589	0.083866	0.996466	-0.000461	-179.991511	0.528420	170.378324	-0.985891	0.167135	-0.009223	0.167143	0.985933	-0.000148	0.009068	-0.001688	-0.999957
