// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
32568														7.021272	0.421874	6.629871	0.117018	0.007033	0.110501	1.000000	0.000015	-0.000030	0.000029	-0.432655	-0.357790	0.163961	-0.811118	3.615921	-46.244426	122.304163	-0.369592	0.584542	0.722297	-0.819196	-0.571853	0.043617	0.438543	-0.575582	0.690207
32569														7.012673	0.438727	6.669205	0.116877	0.007311	0.111154	1.000000	0.000030	-0.000006	0.000016	-0.432637	-0.357773	0.163920	-0.811144	3.618057	-46.240222	122.306893	-0.369648	0.584569	0.722246	-0.819154	-0.571911	0.043646	0.438574	-0.575497	0.690258
32570														7.008302	0.452165	6.667448	0.116801	0.007544	0.111127	1.000000	-0.000037	-0.000031	0.000031	-0.432628	-0.357744	0.163951	-0.811155	3.610979	-46.239022	122.311665	-0.369705	0.584551	0.722231	-0.819161	-0.571907	0.043561	0.438513	-0.575519	0.690278
32571														6.978625	0.441293	6.674857	0.116303	0.007373	0.111255	1.000000	-0.000068	-0.000064	0.000092	-0.432575	-0.357718	0.164043	-0.811176	3.593192	-46.241954	122.326139	-0.369832	0.584427	0.722267	-0.819151	-0.571937	0.043345	0.438423	-0.575616	0.690255
32572														6.940946	0.393630	6.663092	0.115676	0.006584	0.111057	1.000000	-0.000057	-0.000050	0.000145	-0.432475	-0.357679	0.164138	-0.811227	3.570359	-46.243791	122.349824	-0.370062	0.584254	0.722289	-0.819089	-0.572048	0.043068	0.438346	-0.575681	0.690249
32573														6.966058	0.383855	6.665263	0.116092	0.006419	0.111096	1.000000	-0.000086	-0.000077	0.000102	-0.432423	-0.357653	0.164256	-0.811243	3.549429	-46.248231	122.365246	-0.370189	0.584107	0.722343	-0.819093	-0.572061	0.042813	0.438231	-0.575817	0.690209
32574														6.968873	0.411675	6.651584	0.116136	0.006880	0.110871	1.000000	-0.000102	-0.000101	0.000064	-0.432405	-0.357645	0.164384	-0.811230	3.531337	-46.255135	122.374012	-0.370232	0.583977	0.722426	-0.819141	-0.572008	0.042589	0.438105	-0.576001	0.690135
32575														6.915486	0.427999	6.706147	0.115249	0.007156	0.111777	1.000000	-0.000162	-0.000077	0.000037	-0.432432	-0.357599	0.164539	-0.811204	3.509588	-46.259257	122.378682	-0.370251	0.583903	0.722476	-0.819259	-0.571859	0.042324	0.437867	-0.576224	0.690100
32576														6.918915	0.423418	6.684403	0.115302	0.007086	0.111419	1.000000	-0.000238	-0.000119	0.000020	-0.432495	-0.357556	0.164769	-0.811143	3.481536	-46.268058	122.379746	-0.370203	0.583802	0.722582	-0.819460	-0.571597	0.041980	0.437534	-0.576586	0.690010
32577														6.972469	0.434236	6.655913	0.116195	0.007270	0.110943	1.000000	-0.000301	-0.000114	-0.000009	-0.432599	-0.357487	0.165036	-0.811064	3.449390	-46.276034	122.377221	-0.370123	0.583734	0.722678	-0.819727	-0.571243	0.041586	0.437100	-0.577007	0.689933
