// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
27069		9.552493	0.005012	1.786847	0.654646	0.333608	-0.542476	0.407264	-1.538295	-79.110295	65.043230	0.079711	0.171279	0.981993	-0.895177	0.445682	-0.005072	-0.438526	-0.878653	0.188851						
27070		9.533712	-0.022638	1.778916	0.654720	0.333534	-0.542395	0.407314	-1.546871	-79.094257	65.050388	0.079806	0.171538	0.981940	-0.895167	0.445701	-0.005107	-0.438527	-0.878593	0.189125						
27071		9.484059	-0.039756	1.798157	0.654773	0.333439	-0.542343	0.407376	-1.579161	-79.080083	65.080344	0.079819	0.171800	0.981893	-0.895154	0.445727	-0.005221	-0.438553	-0.878529	0.189365						
27072		9.494205	-0.088820	1.854193	0.654805	0.333359	-0.542321	0.407418	-1.611444	-79.070896	65.109581	0.079797	0.171984	0.981863	-0.895135	0.445764	-0.005332	-0.438596	-0.878474	0.189519						
27073		9.441199	-0.076003	1.855233	0.654816	0.333324	-0.542317	0.407435	-1.627191	-79.067552	65.123793	0.079779	0.172055	0.981851	-0.895125	0.445783	-0.005385	-0.438620	-0.878450	0.189575						
27074		9.490542	-0.060455	1.837691	0.654782	0.333299	-0.542385	0.407420	-1.656983	-79.074070	65.149435	0.079655	0.171990	0.981873	-0.895096	0.445840	-0.005481	-0.438701	-0.878434	0.189461						
27075		9.521646	-0.072641	1.809276	0.654730	0.333285	-0.542476	0.407394	-1.688112	-79.084320	65.176018	0.079501	0.171867	0.981907	-0.895064	0.445903	-0.005578	-0.438794	-0.878426	0.189282						
27076		9.518656	-0.085876	1.786899	0.654712	0.333228	-0.542537	0.407388	-1.728144	-79.087427	65.209836	0.079377	0.171866	0.981917	-0.895020	0.445989	-0.005709	-0.438905	-0.878383	0.189225						
27077		9.534286	-0.113747	1.770990	0.654701	0.333185	-0.542550	0.407423	-1.761948	-79.085450	65.243043	0.079292	0.171943	0.981911	-0.895020	0.445988	-0.005822	-0.438921	-0.878368	0.189255						
27078		9.522215	-0.118176	1.803707	0.654726	0.333123	-0.542528	0.407463	-1.788006	-79.077796	65.267480	0.079273	0.172095	0.981885	-0.895011	0.446005	-0.005912	-0.438943	-0.878329	0.189384						
27079		9.521656	-0.076826	1.809049	0.654761	0.333074	-0.542492	0.407495	-1.800069	-79.069255	65.278357	0.079302	0.172244	0.981857	-0.895004	0.446019	-0.005956	-0.438953	-0.878293	0.189529						
27080		9.524628	-0.065206	1.831448	0.654824	0.333005	-0.542441	0.407518	-1.808026	-79.057367	65.282636	0.079374	0.172434	0.981818	-0.894976	0.446073	-0.005989	-0.438995	-0.878228	0.189732						
27081		9.471783	-0.093931	1.829256	0.654880	0.332950	-0.542371	0.407565	-1.814463	-79.044301	65.289102	0.079448	0.172647	0.981774	-0.894978	0.446070	-0.006018	-0.438979	-0.878188	0.189955						
27082		9.440583	-0.083224	1.858053	0.654947	0.332871	-0.542300	0.407617	-1.829630	-79.029082	65.302617	0.079517	0.172902	0.981724	-0.894968	0.446090	-0.006076	-0.438987	-0.878128	0.190214						
27083		9.462291	-0.086397	1.886174	0.654988	0.332803	-0.542277	0.407638	-1.847953	-79.020697	65.316839	0.079534	0.173053	0.981696	-0.894938	0.446147	-0.006142	-0.439044	-0.878069	0.190355						
27084		9.455695	-0.111014	1.844830	0.655003	0.332775	-0.542275	0.407640	-1.855862	-79.018198	65.322374	0.079535	0.173099	0.981688	-0.894921	0.446182	-0.006169	-0.439079	-0.878042	0.190397						
27085		9.526707	-0.055548	1.858347	0.654981	0.332775	-0.542295	0.407646	-1.867380	-79.020760	65.334463	0.079480	0.173076	0.981696	-0.894927	0.446170	-0.006206	-0.439077	-0.878053	0.190352						
27086		9.479497	-0.062919	1.783873	0.654970	0.332774	-0.542306	0.407652	-1.874872	-79.021910	65.342352	0.079448	0.173069	0.981700	-0.894931	0.446162	-0.006230	-0.439075	-0.878059	0.190332						
27087		9.523493	-0.068237	1.837229	0.654999	0.332751	-0.542243	0.407707	-1.878958	-79.012195	65.350058	0.079494	0.173231	0.981668	-0.894960	0.446103	-0.006249	-0.439007	-0.878056	0.190498						
27088		9.519563	-0.038321	1.822394	0.655064	0.332714	-0.542142	0.407768	-1.872782	-78.996474	65.347037	0.079616	0.173472	0.981615	-0.894984	0.446054	-0.006238	-0.438935	-0.878034	0.190767						
27089		9.529495	-0.086249	1.879007	0.655150	0.332646	-0.542069	0.407782	-1.866925	-78.981956	65.336936	0.079750	0.173684	0.981567	-0.894951	0.446120	-0.006226	-0.438979	-0.877958	0.191017						
27090		9.510670	-0.113637	1.871084	0.655207	0.332614	-0.542001	0.407807	-1.857977	-78.970974	65.327941	0.079856	0.173842	0.981530	-0.894950	0.446123	-0.006203	-0.438961	-0.877926	0.191206						
27091		9.454248	-0.111626	1.852196	0.655265	0.332612	-0.541887	0.407868	-1.836692	-78.956449	65.313160	0.080005	0.174048	0.981482	-0.894999	0.446026	-0.006139	-0.438835	-0.877934	0.191457						
27092		9.437945	-0.042437	1.873888	0.655287	0.332642	-0.541776	0.407954	-1.818931	-78.944908	65.307230	0.080105	0.174219	0.981443	-0.895089	0.445845	-0.006086	-0.438632	-0.877992	0.191656						
27093		9.462740	0.009833	1.926058	0.655265	0.332716	-0.541756	0.407957	-1.791061	-78.948291	65.286468	0.080144	0.174137	0.981455	-0.895141	0.445743	-0.005991	-0.438520	-0.878060	0.191601						
27094		9.468690	-0.009821	1.850142	0.655241	0.332787	-0.541830	0.407838	-1.750038	-78.963456	65.240024	0.080176	0.173836	0.981505	-0.895093	0.445841	-0.005846	-0.438612	-0.878070	0.191346						
27095		9.493519	-0.043603	1.779207	0.655247	0.332857	-0.541862	0.407730	-1.695821	-78.973216	65.181536	0.080284	0.173603	0.981538	-0.895052	0.445925	-0.005660	-0.438675	-0.878073	0.191184						
27096		9.552519	0.010413	1.824810	0.655296	0.332890	-0.541781	0.407731	-1.652296	-78.965801	65.141770	0.080458	0.173662	0.981513	-0.895076	0.445879	-0.005519	-0.438594	-0.878085	0.191315						
27097		9.581012	-0.008578	1.890646	0.655413	0.332870	-0.541669	0.407708	-1.599658	-78.950351	65.085974	0.080738	0.173824	0.981461	-0.895046	0.445942	-0.005350	-0.438605	-0.878021	0.191585						
27098		9.577788	-0.061389	1.867400	0.655500	0.332850	-0.541590	0.407691	-1.564282	-78.938924	65.047649	0.080937	0.173947	0.981423	-0.895019	0.445998	-0.005237	-0.438624	-0.877968	0.191784						
27099		9.502882	-0.086662	1.839038	0.655582	0.332804	-0.541477	0.407746	-1.553378	-78.921107	65.038628	0.081093	0.174211	0.981364	-0.895033	0.445970	-0.005209	-0.438566	-0.877930	0.192090						
27100		9.440475	-0.064230	1.896020	0.655678	0.332756	-0.541276	0.407897	-1.549088	-78.892034	65.046009	0.081281	0.174673	0.981266	-0.895124	0.445787	-0.005208	-0.438345	-0.877931	0.192588						
27101		9.430437	-0.013363	1.957341	0.655738	0.332752	-0.541111	0.408024	-1.536788	-78.870890	65.046702	0.081431	0.175002	0.981195	-0.895224	0.445586	-0.005177	-0.438112	-0.877968	0.192951						
27102		9.433239	-0.000884	1.980142	0.655752	0.332779	-0.541062	0.408044	-1.517649	-78.866951	65.032352	0.081504	0.175043	0.981181	-0.895259	0.445516	-0.005114	-0.438028	-0.877995	0.193020						
27103		9.442314	-0.008907	1.926042	0.655717	0.332840	-0.541121	0.407971	-1.492647	-78.879322	65.005446	0.081496	0.174813	0.981223	-0.895241	0.445555	-0.005024	-0.438067	-0.878021	0.192811						
27104		9.501347	-0.042727	1.849294	0.655674	0.332887	-0.541205	0.407890	-1.479531	-78.893616	64.988229	0.081445	0.174567	0.981271	-0.895207	0.445624	-0.004974	-0.438146	-0.878035	0.192567						
27105		9.539313	-0.071579	1.858562	0.655665	0.332897	-0.541228	0.407866	-1.475473	-78.897420	64.982593	0.081435	0.174499	0.981284	-0.895194	0.445650	-0.004958	-0.438174	-0.878035	0.192502						
27106		9.501688	-0.042381	1.847549	0.655688	0.332897	-0.541172	0.407904	-1.469297	-78.890292	64.980479	0.081493	0.174607	0.981260	-0.895225	0.445588	-0.004941	-0.438100	-0.878046	0.192625						
27107		9.467392	-0.043302	1.854526	0.655722	0.332875	-0.541094	0.407970	-1.471436	-78.878744	64.987598	0.081555	0.174796	0.981221	-0.895264	0.445508	-0.004953	-0.438008	-0.878048	0.192822						
27108		9.473917	-0.061600	1.893398	0.655740	0.332837	-0.541072	0.408001	-1.486556	-78.872931	65.002373	0.081552	0.174908	0.981202	-0.895264	0.445509	-0.005007	-0.438010	-0.878026	0.192921						
27109		9.474287	-0.104187	1.889204	0.655728	0.332826	-0.541093	0.408003	-1.499393	-78.874579	65.014210	0.081504	0.174899	0.981207	-0.895257	0.445521	-0.005049	-0.438031	-0.878021	0.192891						
27110		9.520161	-0.058112	1.854766	0.655708	0.332839	-0.541126	0.407981	-1.499843	-78.879852	65.013425	0.081468	0.174816	0.981225	-0.895248	0.445540	-0.005048	-0.438058	-0.878028	0.192801						
27111		9.517160	-0.069891	1.832832	0.655694	0.332889	-0.541120	0.407970	-1.478679	-78.883028	64.995860	0.081499	0.174742	0.981236	-0.895273	0.445491	-0.004976	-0.438001	-0.878068	0.192748						
27112		9.504801	-0.031166	1.868900	0.655693	0.332864	-0.541122	0.407989	-1.494393	-78.881271	65.011089	0.081465	0.174791	0.981230	-0.895271	0.445493	-0.005029	-0.438010	-0.878057	0.192777						
27113		9.523927	-0.088189	1.870491	0.655703	0.332858	-0.541082	0.408030	-1.498089	-78.875758	65.018456	0.081482	0.174887	0.981211	-0.895300	0.445434	-0.005044	-0.437947	-0.878068	0.192871						
27114		9.526929	-0.076104	1.892410	0.655752	0.332835	-0.541026	0.408045	-1.487547	-78.866930	65.007722	0.081579	0.175008	0.981181	-0.895298	0.445440	-0.005013	-0.437935	-0.878041	0.193023						
27115		9.489412	-0.088640	1.878576	0.655803	0.332838	-0.540930	0.408088	-1.465213	-78.855150	64.990513	0.081717	0.175167	0.981142	-0.895335	0.445366	-0.004942	-0.437832	-0.878047	0.193227						
27116		9.511038	-0.090680	1.906918	0.655862	0.332815	-0.540839	0.408133	-1.453004	-78.841859	64.981162	0.081842	0.175360	0.981097	-0.895356	0.445324	-0.004907	-0.437766	-0.878030	0.193455						
27117		9.479794	-0.079205	1.935422	0.655907	0.332810	-0.540745	0.408190	-1.440086	-78.829701	64.973945	0.081952	0.175538	0.981056	-0.895399	0.445237	-0.004869	-0.437657	-0.878038	0.193665						
27118		9.407975	-0.050452	1.930814	0.655889	0.332883	-0.540696	0.408225	-1.414738	-78.829273	64.958912	0.082001	0.175523	0.981054	-0.895476	0.445084	-0.004783	-0.437491	-0.878118	0.193674						
27119		9.404976	-0.062327	1.908988	0.655806	0.332953	-0.540714	0.408275	-1.425371	-78.836955	64.980657	0.081879	0.175435	0.981080	-0.895564	0.444908	-0.004816	-0.437335	-0.878225	0.193542						
27120		9.424067	-0.077209	1.913109	0.655750	0.332996	-0.540737	0.408299	-1.433593	-78.843254	64.994964	0.081789	0.175358	0.981102	-0.895612	0.444810	-0.004841	-0.437253	-0.878290	0.193433						
27121		9.470195	-0.030637	1.877449	0.655651	0.333136	-0.540773	0.408296	-1.408650	-78.858775	64.982160	0.081716	0.175099	0.981154	-0.895702	0.444629	-0.004750	-0.437082	-0.878433	0.193170						
27122		9.526191	0.053447	1.903013	0.655565	0.333308	-0.540875	0.408159	-1.342399	-78.885392	64.917622	0.081720	0.174594	0.981244	-0.895706	0.444625	-0.004516	-0.437073	-0.878536	0.192719						
27123		9.578766	0.038535	1.786557	0.655498	0.333400	-0.541008	0.408017	-1.309202	-78.909431	64.878247	0.081665	0.174165	0.981324	-0.895653	0.444733	-0.004395	-0.437192	-0.878567	0.192310						
27124		9.542255	-0.015908	1.765297	0.655530	0.333381	-0.540973	0.408026	-1.303643	-78.903594	64.872115	0.081726	0.174246	0.981305	-0.895648	0.444743	-0.004379	-0.437191	-0.878545	0.192411						
27125		9.480960	-0.077557	1.812384	0.655630	0.333326	-0.540818	0.408117	-1.294649	-78.879764	64.867889	0.081913	0.174610	0.981225	-0.895684	0.444669	-0.004358	-0.437081	-0.878510	0.192819						
27126		9.478021	-0.044477	1.909940	0.655663	0.333320	-0.540750	0.408159	-1.286007	-78.870739	64.863304	0.081992	0.174743	0.981194	-0.895715	0.444608	-0.004332	-0.437004	-0.878515	0.192974						
27127		9.511763	-0.000960	1.907961	0.655627	0.333389	-0.540803	0.408090	-1.258544	-78.882979	64.835094	0.081989	0.174513	0.981235	-0.895705	0.444629	-0.004235	-0.437024	-0.878550	0.192767						
27128		9.487185	-0.009619	1.857344	0.655548	0.333496	-0.540919	0.407976	-1.226508	-78.906038	64.800968	0.081925	0.174107	0.981313	-0.895684	0.444672	-0.004119	-0.437080	-0.878609	0.192374						
27129		9.552695	-0.019223	1.821689	0.655507	0.333535	-0.540999	0.407904	-1.217304	-78.919253	64.787794	0.081869	0.173883	0.981357	-0.895651	0.444738	-0.004083	-0.437157	-0.878620	0.192149						
27130		9.537815	-0.034211	1.831195	0.655506	0.333563	-0.541016	0.407859	-1.196503	-78.923696	64.765133	0.081905	0.173782	0.981372	-0.895634	0.444774	-0.004012	-0.437186	-0.878622	0.192074						
27131		9.503886	-0.034364	1.836379	0.655524	0.333596	-0.540988	0.407841	-1.167245	-78.922830	64.737358	0.081995	0.173756	0.981369	-0.895642	0.444759	-0.003914	-0.437153	-0.878634	0.192091						
27132		9.432198	-0.005506	1.831084	0.655542	0.333610	-0.540964	0.407831	-1.148925	-78.920957	64.719588	0.082063	0.173759	0.981363	-0.895644	0.444756	-0.003853	-0.437136	-0.878635	0.192124						
27133		9.435498	0.007063	1.851556	0.655531	0.333641	-0.540983	0.407800	-1.133994	-78.925793	64.704310	0.082074	0.173663	0.981379	-0.895639	0.444766	-0.003801	-0.437144	-0.878649	0.192043						
27134		9.470217	-0.033238	1.840256	0.655518	0.333711	-0.541004	0.407734	-1.093619	-78.934149	64.663830	0.082135	0.173475	0.981407	-0.895632	0.444780	-0.003663	-0.437146	-0.878679	0.191902						
27135		9.485759	-0.016553	1.827271	0.655525	0.333747	-0.541059	0.407621	-1.056232	-78.944057	64.618500	0.082200	0.173257	0.981440	-0.895565	0.444916	-0.003535	-0.437271	-0.878654	0.191735						
27136		9.504850	-0.029655	1.831465	0.655546	0.333809	-0.541043	0.407558	-1.003465	-78.946973	64.565450	0.082339	0.173135	0.981450	-0.895556	0.444936	-0.003358	-0.437264	-0.878667	0.191688						
27137		9.519721	0.029382	1.823858	0.655563	0.333863	-0.541022	0.407515	-0.960091	-78.948603	64.522955	0.082455	0.173049	0.981456	-0.895557	0.444935	-0.003212	-0.437240	-0.878685	0.191663						
