// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D200
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
56665		8.986709	0.983509	-3.230489	-0.338879	-0.715933	0.400350	-0.460782	161.407878	-68.609994	-45.683077	0.254799	-0.260948	0.931119	-0.885547	-0.449762	0.116282	0.388439	-0.854178	-0.345681						
56666		8.947774	1.031616	-3.200541	-0.338851	-0.715933	0.400309	-0.460839	161.411902	-68.614849	-45.679852	0.254759	-0.260877	0.931150	-0.885501	-0.449865	0.116232	0.388569	-0.854146	-0.345614						
56667		8.865186	0.993964	-3.207991	-0.338837	-0.715942	0.400263	-0.460876	161.409434	-68.617656	-45.671233	0.254766	-0.260806	0.931168	-0.885454	-0.449957	0.116232	0.388672	-0.854119	-0.345566						
56668		8.811563	1.025147	-3.168887	-0.338822	-0.715932	0.400245	-0.460918	161.413445	-68.621927	-45.671448	0.254717	-0.260758	0.931195	-0.885434	-0.450007	0.116186	0.388748	-0.854107	-0.345508						
56669		8.831629	0.988773	-3.204420	-0.338781	-0.715937	0.400229	-0.460954	161.423200	-68.623842	-45.675471	0.254677	-0.260753	0.931208	-0.885403	-0.450088	0.116117	0.388847	-0.854066	-0.345499						
56670		8.885384	0.990571	-3.177728	-0.338718	-0.715934	0.400254	-0.460984	161.445513	-68.624811	-45.693858	0.254582	-0.260824	0.931214	-0.885397	-0.450135	0.115978	0.388922	-0.854020	-0.345529						
56671		8.885510	0.989330	-3.177762	-0.338662	-0.715937	0.400277	-0.461000	161.464337	-68.624299	-45.709583	0.254516	-0.260900	0.931210	-0.885392	-0.450173	0.115867	0.388976	-0.853976	-0.345575						
56672		8.934301	1.020952	-3.167680	-0.338567	-0.715950	0.400312	-0.461018	161.495125	-68.622197	-45.734780	0.254425	-0.261036	0.931197	-0.885378	-0.450246	0.115692	0.389068	-0.853896	-0.345669						
56673		8.919788	0.990749	-3.180511	-0.338509	-0.715947	0.400345	-0.461037	161.516882	-68.622264	-45.754151	0.254336	-0.261121	0.931198	-0.885383	-0.450271	0.115560	0.389116	-0.853857	-0.345712						
56674		8.968766	1.011044	-3.191822	-0.338452	-0.715945	0.400384	-0.461048	161.538554	-68.621325	-45.774178	0.254256	-0.261221	0.931192	-0.885391	-0.450285	0.115434	0.389148	-0.853819	-0.345770						
