// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
56665		8.040451	0.104129	5.339543	0.533663	0.380114	-0.268481	0.706141	2.679928	-55.425069	104.432120	-0.141436	0.549576	0.823385	-0.957789	-0.286244	0.026534	0.250271	-0.784876	0.566863						
56666		8.003150	0.070295	5.317109	0.533626	0.380162	-0.268587	0.706104	2.670160	-55.438344	104.437745	-0.141442	0.549377	0.823516	-0.957802	-0.286210	0.026428	0.250218	-0.785028	0.566677						
56667		8.002687	0.065965	5.266051	0.533537	0.380253	-0.268707	0.706075	2.658822	-55.457397	104.450012	-0.141491	0.549082	0.823705	-0.957788	-0.286268	0.026303	0.250243	-0.785213	0.566408						
56668		8.024050	0.082119	5.286136	0.533466	0.380331	-0.268785	0.706057	2.652654	-55.471770	104.458731	-0.141523	0.548860	0.823847	-0.957770	-0.286336	0.026233	0.250295	-0.785344	0.566205						
56669		8.025093	0.081026	5.284568	0.533430	0.380330	-0.268867	0.706054	2.638579	-55.478120	104.469574	-0.141604	0.548745	0.823910	-0.957777	-0.286327	0.026089	0.250224	-0.785427	0.566120						
56670		8.019387	0.040794	5.213187	0.533425	0.380311	-0.268918	0.706049	2.629306	-55.480231	104.474485	-0.141644	0.548703	0.823931	-0.957792	-0.286283	0.025996	0.250142	-0.785472	0.566094						
56671		8.074934	0.055584	5.258198	0.533429	0.380311	-0.268973	0.706024	2.623493	-55.484574	104.475015	-0.141633	0.548641	0.823974	-0.957815	-0.286214	0.025936	0.250062	-0.785541	0.566034						
56672		8.060807	0.075546	5.281274	0.533426	0.380332	-0.268993	0.706007	2.623665	-55.488307	104.473803	-0.141608	0.548592	0.824011	-0.957820	-0.286198	0.025935	0.250058	-0.785581	0.565981						
56673		8.061314	0.075244	5.280504	0.533433	0.380338	-0.269049	0.705978	2.618823	-55.493300	104.473182	-0.141584	0.548524	0.824060	-0.957843	-0.286123	0.025884	0.249981	-0.785655	0.565911						
56674		8.026348	0.076414	5.256772	0.533434	0.380341	-0.269075	0.705965	2.616431	-55.495616	104.473271	-0.141577	0.548492	0.824083	-0.957853	-0.286093	0.025859	0.249948	-0.785689	0.565879						
56675		8.077918	0.055847	5.279583	0.533420	0.380377	-0.269112	0.705943	2.615495	-55.502249	104.473347	-0.141554	0.548399	0.824148	-0.957856	-0.286084	0.025845	0.249949	-0.785757	0.565784						
56676		8.081820	0.090138	5.275959	0.533339	0.380466	-0.269113	0.705955	2.618789	-55.511632	104.480620	-0.141589	0.548251	0.824241	-0.957804	-0.286255	0.025872	0.250127	-0.785798	0.565648						
56677		8.120603	0.091552	5.345785	0.533241	0.380573	-0.269169	0.705950	2.616138	-55.527271	104.491280	-0.141635	0.548007	0.824396	-0.957761	-0.286404	0.025835	0.250268	-0.785915	0.565424						
56678		8.118626	0.086215	5.270916	0.533200	0.380609	-0.269230	0.705939	2.609201	-55.535896	104.498053	-0.141669	0.547870	0.824481	-0.957756	-0.286426	0.025761	0.250266	-0.786002	0.565303						
56679		8.099603	0.068057	5.247246	0.533171	0.380609	-0.269305	0.705932	2.597051	-55.541856	104.506708	-0.141730	0.547765	0.824540	-0.957765	-0.286406	0.025637	0.250197	-0.786082	0.565223						
56680		8.112504	0.043863	5.174016	0.533164	0.380618	-0.269324	0.705926	2.595320	-55.544283	104.507867	-0.141732	0.547729	0.824564	-0.957767	-0.286403	0.025619	0.250190	-0.786109	0.565189						
56681		8.085642	0.087378	5.270146	0.533159	0.380603	-0.269320	0.705939	2.593010	-55.542407	104.510620	-0.141766	0.547748	0.824545	-0.957763	-0.286416	0.025597	0.250184	-0.786090	0.565217						
56682		8.069925	0.105903	5.269750	0.533168	0.380585	-0.269318	0.705943	2.591653	-55.540371	104.510807	-0.141775	0.547776	0.824525	-0.957768	-0.286400	0.025585	0.250159	-0.786077	0.565247						
56683		8.015990	0.091749	5.248231	0.533145	0.380611	-0.269338	0.705938	2.590341	-55.544796	104.513409	-0.141784	0.547708	0.824569	-0.957761	-0.286427	0.025569	0.250184	-0.786114	0.565184						
56684		8.036178	0.108947	5.270133	0.533141	0.380637	-0.269330	0.705930	2.594553	-55.546774	104.510922	-0.141753	0.547686	0.824588	-0.957755	-0.286444	0.025610	0.250225	-0.786123	0.565153						
56685		8.047817	0.054321	5.248425	0.533157	0.380616	-0.269347	0.705923	2.591430	-55.545831	104.510402	-0.141751	0.547701	0.824579	-0.957771	-0.286392	0.025579	0.250163	-0.786132	0.565168						
56686		8.032168	0.043226	5.323522	0.533171	0.380582	-0.269329	0.705937	2.590375	-55.541031	104.510671	-0.141771	0.547767	0.824532	-0.957775	-0.286380	0.025572	0.250137	-0.786090	0.565238						
56687		8.046803	0.022665	5.299590	0.533177	0.380590	-0.269372	0.705913	2.587160	-55.545099	104.509756	-0.141748	0.547713	0.824572	-0.957793	-0.286323	0.025538	0.250081	-0.786149	0.565181						
56688		8.050139	0.056771	5.296856	0.533227	0.380566	-0.269393	0.705880	2.587160	-55.544171	104.502069	-0.141677	0.547744	0.824563	-0.957831	-0.286194	0.025538	0.249973	-0.786174	0.565194						
56689		8.034452	0.075193	5.296419	0.533277	0.380513	-0.269431	0.705855	2.580916	-55.541623	104.498289	-0.141650	0.547789	0.824537	-0.957878	-0.286044	0.025478	0.249811	-0.786197	0.565233						
56690		8.067742	0.070211	5.270747	0.533341	0.380494	-0.269462	0.705806	2.582146	-55.541893	104.487163	-0.141543	0.547813	0.824540	-0.957928	-0.285875	0.025490	0.249679	-0.786242	0.565229						
56691		8.066718	0.068731	5.246325	0.533384	0.380472	-0.269470	0.705782	2.583068	-55.540146	104.480401	-0.141485	0.547854	0.824523	-0.957958	-0.285774	0.025501	0.249598	-0.786250	0.565254						
56692		8.086374	0.086125	5.269043	0.533446	0.380447	-0.269459	0.705753	2.588132	-55.536417	104.469201	-0.141391	0.547934	0.824486	-0.957992	-0.285654	0.025553	0.249519	-0.786238	0.565305						
56693		8.099915	0.064731	5.220785	0.533466	0.380466	-0.269461	0.705727	2.593011	-55.538573	104.462450	-0.141319	0.547920	0.824507	-0.958004	-0.285609	0.025600	0.249514	-0.786264	0.565272						
56694		8.104244	0.101565	5.242490	0.533472	0.380519	-0.269388	0.705722	2.609851	-55.538062	104.452684	-0.141227	0.547952	0.824502	-0.957980	-0.285677	0.025766	0.249660	-0.786217	0.565272						
56695		8.089874	0.122921	5.265994	0.533500	0.380544	-0.269387	0.705688	2.616957	-55.540432	104.443246	-0.141128	0.547942	0.824526	-0.957995	-0.285618	0.025835	0.249655	-0.786246	0.565234						
56696		8.070062	0.106702	5.243499	0.533549	0.380541	-0.269321	0.705677	2.630032	-55.534882	104.430554	-0.141027	0.548050	0.824471	-0.958002	-0.285582	0.025967	0.249686	-0.786183	0.565308						
56697		8.072037	0.110737	5.292438	0.533569	0.380553	-0.269295	0.705665	2.637133	-55.533956	104.423938	-0.140967	0.548080	0.824462	-0.958004	-0.285569	0.026038	0.249712	-0.786167	0.565318						
56698		8.053215	0.095938	5.294428	0.533617	0.380549	-0.269250	0.705649	2.647338	-55.529751	104.412471	-0.140872	0.548166	0.824420	-0.958018	-0.285515	0.026142	0.249715	-0.786126	0.565374						
56699		8.035439	0.082660	5.320807	0.533662	0.380544	-0.269237	0.705622	2.653650	-55.528075	104.402374	-0.140782	0.548215	0.824404	-0.958041	-0.285432	0.026205	0.249677	-0.786123	0.565395						
56700		8.092547	0.131345	5.339775	0.533695	0.380527	-0.269232	0.705608	2.655716	-55.525779	104.396840	-0.140737	0.548260	0.824381	-0.958059	-0.285367	0.026227	0.249630	-0.786115	0.565427						
56701		8.057108	0.132735	5.316765	0.533735	0.380493	-0.269275	0.705580	2.650392	-55.525565	104.393397	-0.140705	0.548272	0.824379	-0.958100	-0.285236	0.026175	0.249494	-0.786154	0.565433						
56702		8.053235	0.126055	5.218752	0.533713	0.380527	-0.269323	0.705560	2.647129	-55.532870	104.395560	-0.140699	0.548164	0.824451	-0.958102	-0.285231	0.026137	0.249487	-0.786231	0.565329						
56703		8.124078	0.120992	5.238835	0.533650	0.380614	-0.269377	0.705540	2.645949	-55.546292	104.400762	-0.140701	0.547965	0.824584	-0.958080	-0.285308	0.026117	0.249571	-0.786342	0.565137						
56704		8.088937	0.090948	5.265026	0.533604	0.380668	-0.269434	0.705524	2.641594	-55.556342	104.406211	-0.140717	0.547811	0.824683	-0.958071	-0.285344	0.026067	0.249598	-0.786436	0.564995						
56705		8.123138	0.085580	5.237920	0.533556	0.380703	-0.269491	0.705519	2.634310	-55.564595	104.414415	-0.140766	0.547676	0.824764	-0.958061	-0.285384	0.025990	0.249609	-0.786516	0.564879						
56706		8.085143	0.052496	5.216474	0.533557	0.380711	-0.269488	0.705516	2.635959	-55.565155	104.413228	-0.140753	0.547671	0.824770	-0.958059	-0.285387	0.026006	0.249622	-0.786518	0.564870						
56707		8.069552	0.071338	5.215883	0.533557	0.380711	-0.269470	0.705523	2.638048	-55.563711	104.412720	-0.140753	0.547692	0.824756	-0.958053	-0.285407	0.026027	0.249646	-0.786496	0.564890						
56708		8.073592	0.107451	5.238047	0.533558	0.380710	-0.269433	0.705537	2.642350	-55.560682	104.411517	-0.140752	0.547738	0.824726	-0.958041	-0.285445	0.026072	0.249694	-0.786451	0.564932						
56709		8.069197	0.071994	5.216422	0.533550	0.380706	-0.269374	0.705567	2.647748	-55.555767	104.411981	-0.140775	0.547805	0.824677	-0.958015	-0.285524	0.026128	0.249778	-0.786375	0.565000						
56710		8.021060	0.097388	5.266416	0.533546	0.380703	-0.269327	0.705590	2.652275	-55.551673	104.411915	-0.140789	0.547862	0.824637	-0.957996	-0.285583	0.026176	0.249843	-0.786314	0.565057						
56711		8.055127	0.094616	5.265514	0.533528	0.380701	-0.269271	0.705626	2.656451	-55.547205	104.414514	-0.140829	0.547918	0.824593	-0.957966	-0.285682	0.026220	0.249938	-0.786239	0.565119						
56712		8.087983	0.090352	5.240464	0.533548	0.380678	-0.269215	0.705645	2.662064	-55.540366	104.411167	-0.140822	0.548022	0.824525	-0.957959	-0.285700	0.026280	0.249969	-0.786160	0.565215						
56713		8.054252	0.095310	5.266840	0.533546	0.380653	-0.269177	0.705674	2.662554	-55.534869	104.413613	-0.140865	0.548092	0.824471	-0.957945	-0.285745	0.026288	0.249997	-0.786094	0.565294						
56714		8.074690	0.114095	5.314346	0.533562	0.380622	-0.269140	0.705693	2.664351	-55.528723	104.412674	-0.140878	0.548180	0.824410	-0.957942	-0.285752	0.026310	0.249999	-0.786031	0.565381						
